time,wrist_ir,wrist_red,finger_ir,finger_red,sbp,dbp
0.0,90564.0,96669.0,101174.0,85951.0,108.0,41.0
0.1,91739.0,97574.0,101195.0,86007.0,,
0.2,91951.09836065574,97577.91803278688,101311.29508196721,86087.72131147541,,
0.30000000000000004,92202.0,97841.0,101173.68421052632,85975.26315789473,,
0.4,92031.0,98207.0,100969.0,85796.0,,
0.5,92137.0,98411.0,101011.0,85811.0,,
0.6000000000000001,93329.7,99139.45,100971.8,85775.95,,
0.7000000000000001,93451.0,98976.0,100977.0,85768.0,,
0.8,93247.0,98707.0,101092.0,85830.0,,
0.9,93310.25,98811.05,101184.85,85948.35,,
1.0,93483.6,98948.4,101159.2,85912.8,,
1.1,93634.0,98890.0,101224.0,85963.0,,
1.2000000000000002,93233.2,98415.95,101303.0,85996.95,,
1.3,93255.0,98496.0,101252.0,86000.0,,
1.4000000000000001,93325.65,98581.1,101230.85,85949.75,,
1.5,93273.0,98508.0,101314.0,86023.0,,
1.6,93360.0,98636.0,101254.0,85989.0,,
1.7000000000000002,93432.6,98773.75,101212.0,85925.0,,
1.8,93549.23076923077,98869.0,101302.0,85997.84615384616,,
1.9000000000000001,92686.0,98848.0,101268.0,86008.0,,
2.0,91586.8,98319.7,101186.1,85954.35,,
2.1,90566.84210526316,97516.47368421052,101166.0,85907.94736842105,,
2.2,89538.0,96793.0,101118.0,85928.0,,
2.3000000000000003,89484.85714285714,96695.64285714286,101065.64285714286,85833.35714285714,,
2.4000000000000004,89313.05263157895,96387.57894736841,101043.21052631579,85766.68421052632,,
2.5,88477.0,95741.0,101123.0,85808.0,,
2.6,88100.24,95334.31999999999,101122.64,85846.64,,
2.7,88541.26315789473,95485.15789473684,101153.0,85869.42105263157,,
2.8000000000000003,89335.55,95479.8,101230.45,85984.75,,
2.9000000000000004,89205.0,94486.89473684209,101341.15789473684,86119.0,,
3.0,88658.2,93800.0,101217.2,86037.2,,
3.1,88657.71428571429,93869.42857142857,101135.5,85973.07142857143,,
3.2,88635.78947368421,93784.68421052632,101071.84210526316,85926.15789473684,,
3.3000000000000003,88680.3,93902.4,101004.2,85849.7,,
3.4000000000000004,88803.8,94066.0,101110.88,85929.72,,
3.5,88937.0,94227.68421052632,101226.21052631579,85969.84210526316,,
3.6,88805.78947368421,94026.21052631579,101198.8947368421,85964.0,,
3.7,88667.15,93865.35,101172.9,85921.0,,
3.8000000000000003,88593.57142857143,93702.14285714286,101254.42857142857,85985.42857142857,,
3.9000000000000004,88325.57142857143,93376.14285714286,101218.71428571429,86008.0,,
4.0,88330.05,93397.85,101223.0,85978.9,,
4.1000000000000005,88131.0,93079.57142857142,101240.57142857142,85994.42857142857,,
4.2,87875.14285714286,92648.28571428571,101313.42857142857,86039.85714285714,,
4.3,87606.55,92296.5,101260.8,85990.25,,
4.4,87441.78947368421,92180.68421052632,101294.94736842105,85988.84210526316,,
4.5,87481.09090909091,92192.0,101316.81818181818,86009.36363636363,,
4.6000000000000005,87489.95,92245.35,101365.90000000001,86056.2,,
4.7,87626.8,92469.73333333334,101276.26666666666,85987.26666666666,,
4.800000000000001,87828.6,92766.0,101339.0,86009.8,,
4.9,87998.65000000001,93059.15000000001,101385.25,86079.85,,
5.0,88166.08,93311.12,101320.76,86030.64,,
5.1000000000000005,88218.0,93357.2,101291.4,85990.2,,
5.2,88175.22727272728,93336.72727272728,101366.72727272728,86040.63636363637,,
5.300000000000001,88170.45,93313.7,101392.3,86035.15,,
5.4,88158.68181818182,93285.77272727272,101332.5,86030.22727272728,,
5.5,88182.33333333333,93349.40000000001,101352.6,86052.2,,
5.6000000000000005,88137.0,93283.0,101317.6,86004.2,,
5.7,88176.75,93312.75,101297.0,85988.0,,
5.800000000000001,88144.85185185185,93284.81481481482,101327.40740740742,86045.0,,
5.9,88109.6,93273.8,101322.0,86026.0,,
6.0,88185.5,93372.0,101251.25,85960.5,,
6.1000000000000005,88186.42105263157,93345.68421052632,101300.36842105263,85992.94736842105,,
6.2,88163.73684210527,93343.84210526316,101355.47368421053,86037.42105263157,,
6.300000000000001,88123.5,93288.35714285714,101264.0,85999.28571428571,,
6.4,88068.52631578947,93217.57894736843,101278.42105263157,85986.84210526316,,
6.5,88112.57894736843,93265.36842105263,101335.84210526316,86046.84210526316,,
6.6000000000000005,88076.4,93222.0,101308.2,86055.6,,
6.7,88039.05263157895,93165.21052631579,101205.47368421052,85955.36842105263,,
6.800000000000001,88022.28571428571,93148.42857142857,101217.14285714286,85960.0,,
6.9,88007.5,93144.5,101161.75,85897.75,,
7.0,87989.94736842105,93127.68421052632,101137.8947368421,85830.73684210527,,
7.1000000000000005,87910.0,93058.85714285714,101167.0,85819.14285714286,,
7.2,87906.63636363637,93072.5,101237.81818181818,85871.54545454546,,
7.300000000000001,87971.6,93126.7,101330.4,85991.8,,
7.4,87905.76923076923,93054.53846153847,101305.07692307692,85921.69230769231,,
7.5,87921.75,93051.15,101195.5,85835.0,,
7.6000000000000005,87955.5,93107.5,101212.1,85816.5,,
7.7,87930.1,93089.3,101181.6,85794.8,,
7.800000000000001,87974.35,93147.2,101140.65,85767.8,,
7.9,87996.0,93182.0,101227.77777777778,85783.0,,
8.0,87976.15,93125.2,101253.05,85881.0,,
8.1,87865.6,93009.3,101294.4,85957.0,,
8.200000000000001,87939.15384615384,93131.46153846153,101259.84615384616,85932.07692307692,,
8.3,87998.95,93195.5,101230.4,85898.0,,
8.4,87899.27272727272,93061.18181818182,101289.0,85925.18181818182,,
8.5,87897.63157894737,93052.42105263157,101292.68421052632,85930.21052631579,,
8.6,87861.05,93047.25,101267.85,85909.65,,
8.700000000000001,87907.0,93086.0,101323.57142857143,85955.57142857143,,
8.8,87930.90476190476,93127.04761904762,101368.76190476191,85997.14285714286,,
8.9,87892.3,93067.85,101381.95,86017.9,,
9.0,87929.32,93123.96,101324.36,85983.4,,
9.1,87904.09523809524,93096.09523809524,101379.0,86023.80952380953,,
9.200000000000001,87931.84210526316,93123.78947368421,101422.21052631579,86047.42105263157,,
9.3,87929.0,93114.0,101398.8,86059.2,,
9.4,87844.0,92975.0,101404.68421052632,86032.26315789473,,
9.5,87904.0,93076.0,101461.0,86095.0,,
9.600000000000001,87879.0,93081.8,101436.2,86077.6,,
9.700000000000001,87867.0,93069.0,101391.57894736841,86023.73684210527,,
9.8,87938.84615384616,93111.42307692308,101423.53846153847,86066.34615384616,,
9.9,87870.4,93075.0,101405.6,86072.0,,
10.0,87851.95,93042.85,101334.34999999999,86004.95,,
10.100000000000001,87873.0,93081.0,101301.5,85973.45,,
10.200000000000001,87791.8,92986.2,101350.4,86018.2,,
10.3,87855.0,93034.8,101321.6,85974.0,,
10.4,87841.15,93038.25,101304.85,85976.2,,
10.5,87857.2,93051.25,101341.5,86021.9,,
10.600000000000001,87813.03846153847,93000.19230769231,101229.61538461539,85922.30769230769,,
10.700000000000001,87886.5,93103.0,101384.5,85996.0,,
10.8,87926.95,93181.45,101499.1,86101.25,,
10.9,87890.0,93122.0,101438.5,86062.15,,
11.0,87874.0,93104.5,101320.5,85973.5,,
11.100000000000001,87813.92307692308,93047.76923076923,101412.84615384614,86090.23076923077,,
11.200000000000001,87858.45,93096.55,101348.0,86007.35,,
11.3,87855.0,93105.5,101188.0,85881.0,,
11.4,87852.2,93064.0,101238.16,85874.64,,
11.5,87864.31578947368,93076.94736842105,101226.36842105263,85877.78947368421,,
11.600000000000001,87812.5,93047.5,101207.00000000001,85862.50000000001,,
11.700000000000001,87852.26315789473,93078.52631578948,101307.94736842105,86026.36842105263,,
11.8,87893.23809523809,93115.71428571429,101336.95238095238,86054.76190476191,,
11.9,87992.28571428571,93308.57142857143,101159.14285714286,85849.71428571429,,
12.0,87935.42105263157,93183.57894736843,101095.36842105263,85747.15789473684,,
12.100000000000001,87840.15789473684,93111.0,101209.1052631579,85880.26315789473,,
12.200000000000001,87884.85185185185,93144.44444444444,101391.92592592593,86117.55555555556,,
12.3,87885.85,93168.95,101285.3,86063.55,,
12.4,87846.47368421052,93098.1052631579,101232.73684210527,85961.42105263157,,
12.5,87881.36363636363,93140.45454545454,101150.54545454546,85881.72727272728,,
12.600000000000001,87823.9,93082.3,101173.95,85959.40000000001,,
12.700000000000001,87837.21428571429,93105.42857142857,101210.35714285714,86026.85714285714,,
12.8,87846.8,93120.59999999999,101328.2,86148.8,,
12.9,87810.25,93072.45,101476.05,86270.55,,
13.0,87801.0,93075.33333333333,101430.66666666667,86261.33333333333,,
13.100000000000001,87808.28571428571,93059.0,101469.28571428571,86285.42857142857,,
13.200000000000001,87848.36842105263,93094.94736842105,101353.78947368421,86235.21052631579,,
13.3,87781.59999999999,93041.4,101352.4,86219.40000000001,,
13.4,87809.13636363637,93047.68181818182,101417.31818181818,86243.68181818182,,
13.5,87804.6,93054.8,101349.6,86230.4,,
13.600000000000001,87795.8,93034.6,101304.2,86187.40000000001,,
13.700000000000001,87833.84999999999,93095.3,101244.95,86161.4,,
13.8,87774.5925925926,93043.51851851853,101261.66666666667,86158.29629629629,,
13.9,87820.2,93073.2,101214.4,86096.4,,
14.0,87821.05,93082.35,101183.95,86060.15,,
14.100000000000001,87745.35,93017.75,101243.8,86086.25,,
14.200000000000001,87805.8,93092.4,101229.6,86104.6,,
14.3,87740.57142857143,93037.35714285714,101212.5,86097.78571428571,,
14.4,87806.36842105263,93059.1052631579,101256.0,86112.8947368421,,
14.5,87842.94736842105,93105.47368421052,101313.68421052632,86139.52631578948,,
14.600000000000001,87797.51999999999,93069.31999999999,101278.95999999999,86127.28,,
14.700000000000001,87829.31578947368,93085.1052631579,101237.52631578947,86069.31578947368,,
14.8,87776.33333333333,93039.33333333333,101213.66666666666,86058.66666666666,,
14.9,87785.9,93031.2,101211.75,86054.3,,
15.0,87819.05263157895,93053.57894736843,101188.1052631579,85996.05263157895,,
15.100000000000001,87753.0,92997.0,101211.0,86041.0,,
15.200000000000001,87773.25,93016.45,101264.45,86069.45,,
15.3,87778.5,93031.9,101150.6,85953.1,,
15.4,87779.38461538461,93005.07692307692,101142.15384615384,85909.84615384616,,
15.5,87816.68421052632,93021.21052631579,101196.15789473684,85935.52631578947,,
15.600000000000001,87793.6,93033.6,101190.5,85893.7,,
15.700000000000001,87820.5,93060.0,101172.0,85872.0,,
15.8,87740.7,92973.2,101211.0,85896.0,,
15.9,87840.0,93063.0,101197.0,85870.0,,
16.0,87794.0,93047.25,101285.5,86047.25,,
16.1,87829.9,93058.8,101340.2,86117.8,,
16.2,87819.38461538461,93053.23076923077,101235.15384615384,86057.38461538461,,
16.3,87786.25,93010.25,101275.75,86150.5,,
16.400000000000002,87825.0,93080.0,101420.0909090909,86279.81818181818,,
16.5,87817.0,93069.0,101412.6,86276.9,,
16.6,87813.75,93051.75,101132.75,86061.25,,
16.7,87887.04,93118.36,101055.12,86018.88,,
16.8,87797.90909090909,93041.72727272728,101179.72727272728,86126.90909090909,,
16.900000000000002,87841.25,93068.25,101242.25,86169.25,,
17.0,87844.2,93078.84,101239.52,86139.56,,
17.1,87830.61904761904,93045.33333333333,101254.09523809524,86182.33333333333,,
17.2,87877.5,93111.75,101305.25,86229.0,,
17.3,87835.52631578947,93068.36842105263,101349.94736842105,86307.68421052632,,
17.400000000000002,87865.4,93072.4,101499.0,86401.59999999999,,
17.5,87887.1923076923,93108.65384615384,101421.03846153847,86339.26923076923,,
17.6,87827.0,93050.0,101338.2,86315.6,,
17.7,87911.8947368421,93148.05263157895,101475.05263157895,86416.84210526316,,
17.8,87850.46428571429,93028.78571428571,101385.28571428571,86384.17857142857,,
17.900000000000002,87848.8,93042.4,101228.4,86269.8,,
18.0,87873.2,93067.85,101215.75,86243.8,,
18.1,87787.7,93013.0,101152.2,86073.05,,
18.2,87836.9,93018.05,101160.6,86012.25,,
18.3,87867.0,93051.0,101114.22222222222,86031.77777777778,,
18.400000000000002,87827.0,93013.6,101409.20000000001,86118.40000000001,,
18.5,87848.85,93034.6,101442.75,86138.15,,
18.6,87806.76923076923,92999.38461538461,101373.26923076923,86093.73076923077,,
18.7,87842.40000000001,92988.0,101379.40000000001,86150.6,,
18.8,87907.0,93037.0,101271.9,86060.85,,
18.900000000000002,87802.73684210527,92947.47368421052,101277.89473684209,86104.26315789473,,
19.0,87817.14285714286,92969.57142857143,101371.28571428571,86183.57142857143,,
19.1,87816.26923076923,92980.46153846153,101256.26923076923,86156.19230769231,,
19.200000000000003,87802.0,92937.0,101358.10526315791,86209.26315789475,,
19.3,87842.42857142857,92982.42857142857,101411.57142857143,86242.42857142857,,
19.400000000000002,87784.65384615386,92929.23076923078,101490.38461538461,86323.57692307692,,
19.5,87820.0,92940.0,101367.36842105263,86196.52631578947,,
19.6,87841.52631578947,92973.84210526316,101398.8947368421,86236.57894736843,,
19.700000000000003,87750.0,92880.13636363637,101389.22727272726,86244.22727272726,,
19.8,87822.7,92944.8,101371.7,86230.6,,
19.900000000000002,87827.69230769231,92926.15384615384,101375.38461538462,86269.30769230769,,
20.0,87787.0,92872.0,101375.0,86281.35,,
20.1,87871.79999999999,92973.3,101286.3,86297.6,,
20.200000000000003,87830.61538461539,92942.0,101319.92307692306,86291.30769230769,,
20.3,87840.95,92925.4,101262.75,86297.0,,
20.400000000000002,87818.1,92919.90000000001,101377.0,86353.9,,
20.5,87847.1,92924.9,101352.2,86337.4,,
20.6,87906.2,92999.25,101351.5,86345.45,,
20.700000000000003,87861.30769230769,92955.61538461538,101376.84615384616,86357.53846153845,,
20.8,87883.15,92993.5,101235.85,86261.95,,
20.900000000000002,87869.81818181818,92959.54545454544,101301.63636363637,86291.54545454546,,
21.0,87871.07142857143,92982.42857142857,101343.5,86330.57142857143,,
21.1,87834.7,92897.55,101272.4,86245.65,,
21.200000000000003,87818.0,92884.0,101239.0,86207.99999999999,,
21.3,87850.0,92913.27272727274,101229.0,86134.45454545454,,
21.400000000000002,87771.05,92819.8,101246.5,86096.90000000001,,
21.5,87861.8,92922.0,101329.8,86143.0,,
21.6,87846.0,92895.0,101373.0,86190.0,,
21.700000000000003,87876.84999999999,92916.0,101448.05,86316.8,,
21.8,87856.0,92913.0,101392.0,86283.0,,
21.900000000000002,87796.59090909091,92820.27272727272,101376.90909090909,86311.5,,
22.0,87898.0,92951.0,101355.0,86328.0,,
22.1,87897.0,92930.0,101309.0,86263.0,,
22.200000000000003,87908.3,92961.8,101309.5,86272.15,,
22.3,87929.0,92998.75,101354.5,86328.0,,
22.400000000000002,87917.99999999999,92961.99999999999,101371.0,86334.0,,
22.5,87925.8,92965.65,101335.85,86284.45,,
22.6,87897.0,92973.95000000001,101403.45,86364.4,,
22.700000000000003,87880.0,92924.00000000001,101487.99999999999,86443.0,,
22.8,87956.64285714286,93009.57142857143,101373.07142857142,86370.42857142857,,
22.900000000000002,87868.57894736841,92904.0,101369.42105263157,86391.84210526316,,
23.0,87881.0,92921.0,101380.0,86436.0,,
23.1,87891.72,92934.88,101226.08,86326.12,,
23.200000000000003,87885.05263157896,92917.68421052632,101184.89473684209,86287.73684210525,,
23.3,87881.36842105264,92905.21052631579,101411.78947368421,86381.68421052632,,
23.400000000000002,87882.2,92927.4,101378.5,86339.8,,
23.5,87925.75,92946.65000000001,101467.55,86420.7,,
23.6,87848.14285714286,92898.64285714286,101370.85714285714,86394.21428571429,,
23.700000000000003,87891.0,92909.4,101310.59999999999,86408.6,,
23.8,87892.19047619047,92907.71428571429,101360.57142857142,86414.90476190476,,
23.900000000000002,87857.11538461538,92883.65384615384,101309.65384615384,86374.23076923077,,
24.0,87884.9,92924.4,101262.2,86358.8,,
24.1,87868.15,92874.05,101250.85,86334.4,,
24.200000000000003,87890.77272727272,92910.68181818181,101206.27272727272,86304.90909090909,,
24.3,87913.7,92954.8,101230.8,86336.8,,
24.400000000000002,87852.79999999999,92875.79999999999,101188.8,86318.2,,
24.5,87906.42857142857,92927.28571428571,101246.28571428571,86355.57142857143,,
24.6,87853.2,92856.3,101274.3,86373.8,,
24.700000000000003,87845.88,92867.76,101211.6,86323.24,,
24.8,87863.6,92897.15,101315.0,86382.55,,
24.900000000000002,87807.3,92808.9,101414.8,86430.1,,
25.0,87883.21052631579,92874.42105263157,101365.78947368421,86429.78947368421,,
25.1,87822.47368421052,92832.57894736843,101313.52631578947,86355.78947368421,,
25.200000000000003,87842.66666666667,92838.5,101390.5,86410.16666666667,,
25.3,87828.85,92826.5,101368.25,86406.65,,
25.400000000000002,87768.4,92794.8,101271.59999999999,86342.8,,
25.5,87848.0,92861.69230769231,101289.69230769231,86375.15384615384,,
25.6,87838.1,92865.7,101317.85,86404.8,,
25.700000000000003,87816.4,92823.2,101267.59999999999,86362.2,,
25.8,87782.79999999999,92812.0,101281.2,86336.0,,
25.900000000000002,87831.4,92848.8,101257.6,86356.8,,
26.0,87823.57142857143,92820.57142857143,101280.71428571429,86350.14285714286,,
26.1,87827.27272727274,92834.13636363637,101168.99999999999,86310.86363636363,,
26.200000000000003,87834.59999999999,92858.0,101160.80000000002,86307.2,,
26.3,87827.07692307692,92818.92307692308,101129.69230769231,86243.76923076923,,
26.400000000000002,87819.45454545454,92823.95454545454,101218.95454545454,86333.5,,
26.5,87831.8,92861.0,101273.0,86430.2,,
26.6,87811.26315789473,92828.8947368421,101318.2105263158,86443.05263157895,,
26.700000000000003,87823.61904761904,92834.42857142857,101392.66666666667,86466.61904761904,,
26.8,87806.0,92819.0,101418.42857142858,86487.28571428571,,
26.900000000000002,87807.5,92812.25,101350.25,86446.25,,
27.0,87823.4761904762,92839.42857142857,101321.57142857143,86444.66666666667,,
27.1,87784.42857142857,92798.0,101480.42857142857,86527.14285714286,,
27.200000000000003,87812.24999999999,92823.49999999999,101464.75,86508.25,,
27.3,87782.6,92777.0,101488.4,86482.3,,
27.400000000000002,87806.18181818181,92801.72727272726,101444.09090909091,86451.27272727272,,
