time,wrist_ir,wrist_red,finger_ir,finger_red,sbp,dbp
0.0,81157.0,81950.0,,,108.0,70.0
0.1,81192.0,82020.0,,,,
0.2,81197.0,81988.0,,,,
0.30000000000000004,81142.0,81944.0,,,,
0.4,81113.0,81943.0,,,,
0.5,81104.0,81926.0,,,,
0.6000000000000001,81100.0,81912.0,,,,
0.7000000000000001,81036.0,81840.0,,,,
0.8,80991.81818181818,81780.09090909091,,,,
0.9,80938.0,81738.0,,,,
1.0,80977.0,81755.0,,,,
1.1,80962.0,81772.0,,,,
1.2000000000000002,80937.0,81758.0,,,,
1.3,80938.0,81758.0,,,,
1.4000000000000001,80926.0,81768.0,,,,
1.5,80926.0,81757.0,,,,
1.6,80940.18181818182,81796.72727272728,,,,
1.7000000000000002,80942.0,81791.0,,,,
1.8,80902.0,81753.0,,,,
1.9000000000000001,80811.0,81661.0,,,,
2.0,80778.0,81622.0,,,,
2.1,80756.0,81600.0,,,,
2.2,80790.0,81708.0,,,,
2.3000000000000003,80769.0,81703.0,,,,
2.4000000000000004,80833.0,81760.0,,,,
2.5,80791.0,81710.0,,,,
2.6,80803.0,81708.0,,,,
2.7,80842.0,81786.0,,,,
2.8000000000000003,80850.0,81830.0,,,,
2.9000000000000004,80878.0,81879.0,,,,
3.0,80825.0,81790.0,,,,
3.1,80791.0,81735.0,,,,
3.2,80786.0,81748.0,,,,
3.3000000000000003,80795.0,81766.0,,,,
3.4000000000000004,80833.0,81805.0,,,,
3.5,80832.0,81840.0,,,,
3.6,80836.0,81868.0,,,,
3.7,80852.0,81859.0,,,,
3.8000000000000003,80858.0,81859.0,,,,
3.9000000000000004,80832.0,81792.0,,,,
4.0,80767.0,81704.0,,,,
4.1000000000000005,80764.0,81707.0,,,,
4.2,80774.0,81686.0,,,,
4.3,80771.0,81693.0,,,,
4.4,80768.0,81677.0,,,,
4.5,80751.0,81661.0,,,,
4.6000000000000005,80747.0,81696.0,,,,
4.7,80744.0,81702.0,,,,
4.800000000000001,80724.0,81719.0,,,,
4.9,80700.0,81680.0,,,,
5.0,80722.0,81703.0,,,,
5.1000000000000005,80684.0,81630.0,,,,
5.2,80670.0,81606.0,,,,
5.300000000000001,80670.0,81596.0,,,,
5.4,80652.0,81581.0,,,,
5.5,80669.0,81581.0,,,,
5.6000000000000005,80665.0,81570.0,,,,
5.7,80658.0,81569.0,,,,
5.800000000000001,80672.0,81590.0,,,,
5.9,80664.0,81611.0,,,,
6.0,80660.0,81596.0,,,,
6.1000000000000005,80648.0,81598.0,,,,
6.2,80607.0,81534.0,,,,
6.300000000000001,80636.0,81572.0,,,,
6.4,80618.0,81606.0,,,,
6.5,80657.0,81629.0,,,,
6.6000000000000005,80644.0,81634.0,,,,
6.7,80625.0,81576.0,,,,
6.800000000000001,80638.0,81581.0,,,,
6.9,80645.0,81600.0,,,,
7.0,80639.0,81572.0,,,,
7.1000000000000005,80642.0,81535.0,,,,
7.2,80592.0,81474.0,,,,
7.300000000000001,80584.0,81479.0,,,,
7.4,80562.0,81480.0,,,,
7.5,80562.0,81487.0,,,,
7.6000000000000005,80557.0,81496.0,,,,
7.7,80563.0,81475.0,,,,
7.800000000000001,80571.0,81481.0,,,,
7.9,80585.0,81489.0,,,,
8.0,80584.0,81533.0,,,,
8.1,80581.0,81531.0,,,,
8.200000000000001,80567.0,81482.0,,,,
8.3,80521.0,81407.0,,,,
8.4,80521.0,81399.0,,,,
8.5,80517.0,81408.0,,,,
8.6,80519.0,81406.0,,,,
8.700000000000001,80516.0,81360.0,,,,
8.8,80511.0,81359.0,,,,
8.9,80531.0,81378.0,,,,
9.0,80553.0,81414.0,,,,
9.1,80530.0,81441.0,,,,
9.200000000000001,80538.0,81437.0,,,,
9.3,80555.0,81460.0,,,,
9.4,80477.0,81351.0,,,,
9.5,80475.0,81330.0,,,,
9.600000000000001,80449.0,81358.0,,,,
9.700000000000001,80471.0,81367.0,,,,
9.8,80468.0,81381.0,,,,
9.9,80470.0,81355.0,,,,
10.0,80489.0,81351.0,,,,
10.100000000000001,80474.0,81335.0,,,,
10.200000000000001,80483.0,81373.0,,,,
10.3,80508.0,81384.0,,,,
10.4,80503.0,81388.0,,,,
10.5,80494.0,81391.0,,,,
10.600000000000001,80454.0,81369.0,,,,
10.700000000000001,80439.0,81343.0,,,,
10.8,80464.0,81310.0,,,,
10.9,80450.0,81271.0,,,,
11.0,80456.0,81244.0,,,,
11.100000000000001,80434.0,81259.0,,,,
11.200000000000001,80459.0,81311.0,,,,
11.3,80456.0,81346.0,,,,
11.4,80484.0,81313.0,,,,
11.5,80444.0,81296.0,,,,
11.600000000000001,80400.0,81230.0,,,,
11.700000000000001,80395.0,81246.0,,,,
11.8,80405.0,81203.0,,,,
11.9,80421.0,81213.0,,,,
12.0,80330.0,81113.0,,,,
12.100000000000001,80370.0,81183.0,,,,
12.200000000000001,80404.0,81256.0,,,,
12.3,80412.0,81260.0,,,,
12.4,80410.0,81252.0,,,,
12.5,80420.0,81301.0,,,,
12.600000000000001,80440.0,81308.0,,,,
12.700000000000001,80404.0,81253.0,,,,
12.8,80386.0,81255.0,,,,
12.9,80399.8,81272.5,,,,
13.0,80375.2,81247.0,,,,
13.100000000000001,80309.2,81177.40000000001,,,,
13.200000000000001,80340.68181818181,81216.09090909091,,,,
13.3,80318.28571428571,81191.14285714286,,,,
13.4,80323.0,81208.4,,,,
13.5,80393.47368421053,81272.1052631579,,,,
13.600000000000001,80329.40000000001,81211.16,,,,
13.700000000000001,80300.5238095238,81185.04761904762,,,,
13.8,80294.73684210527,81194.26315789473,,,,
13.9,80304.2,81158.9,,,,
14.0,80327.05,81192.05,,,,
14.100000000000001,80298.4,81169.53333333334,,,,
14.200000000000001,80284.0,81146.0,,,,
14.3,80226.15,81117.7,,,,
14.4,80308.24,81186.68,,,,
14.5,80288.0,81184.0,,,,
14.600000000000001,80304.15,81180.9,,,,
14.700000000000001,80310.0,81190.0,,,,
14.8,80251.45,81137.3,,,,
14.9,80308.0,81184.0,,,,
15.0,80284.0,81169.0,,,,
15.100000000000001,80263.0,81180.0,,,,
15.200000000000001,80241.2,81174.2,,,,
15.3,80269.0,81187.0,,,,
15.4,80283.0,81190.0,,,,
15.5,80259.0,81183.0,,,,
15.600000000000001,80255.0,81194.0,,,,
15.700000000000001,80249.0,81144.0,,,,
15.8,80258.0,81164.0,,,,
15.9,80246.0,81162.0,,,,
16.0,80230.6,81155.4,,,,
16.1,80254.0,81204.0,,,,
16.2,80284.0,81259.0,,,,
16.3,80310.0,81231.0,,,,
16.400000000000002,80331.0,81252.0,,,,
16.5,80323.0,81287.0,,,,
16.6,80345.0,81318.0,,,,
16.7,80296.0,81272.0,,,,
16.8,80270.39130434782,81238.43478260869,,,,
16.900000000000002,80243.0,81212.0,,,,
17.0,80257.0,81221.0,,,,
17.1,80202.0,81165.0,,,,
17.2,80231.0,81195.0,,,,
17.3,80252.0,81208.0,,,,
17.400000000000002,80275.0,81248.0,,,,
17.5,80273.0,81264.0,,,,
17.6,80301.82608695653,81286.13043478261,,,,
17.7,80306.0,81297.0,,,,
17.8,80251.0,81239.0,,,,
17.900000000000002,80259.0,81249.0,,,,
18.0,80268.0,81218.0,,,,
18.1,80291.0,81274.0,,,,
18.2,80277.0,81255.0,,,,
18.3,80252.0,81234.0,,,,
18.400000000000002,80248.63636363637,81236.18181818182,,,,
